"id","Name","sex","Age","height","weight","team","noc","games","Year","season","city","sport","Event","medal"
1163,Joseph Aghoghovbia,M,"27","190","83",Nigeria,NGR,"1968 Summer",1968,Summer,Mexico City,Football,Football Men's Football,NA
1164,Naroa Agirre Kamio,F,"25","177","63",Spain,ESP,"2004 Summer",2004,Summer,Athina,Athletics,Athletics Women's Pole Vault,NA
1164,Naroa Agirre Kamio,F,"29","177","63",Spain,ESP,"2008 Summer",2008,Summer,Beijing,Athletics,Athletics Women's Pole Vault,NA
1165,Vladimir Agishev,M,"27","171","70",Soviet Union,URS,"1972 Summer",1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",NA
1166,Joanna Jane Agius,F,"22","170","61",Malta,MLT,"1980 Summer",1980,Summer,Moskva,Archery,Archery Women's Individual,NA
1166,Joanna Jane Agius,F,"26","170","61",Malta,MLT,"1984 Summer",1984,Summer,Los Angeles,Archery,Archery Women's Individual,NA
1166,Joanna Jane Agius,F,"30","170","61",Malta,MLT,"1988 Summer",1988,Summer,Seoul,Archery,Archery Women's Individual,NA
1167,Neil Agius,M,"18","168","65",Malta,MLT,"2004 Summer",2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,NA
1168,Umberto Agliorini,M,NA,NA,NA,Italy,ITA,"1908 Summer",1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
1169,Marilyn Agliotti,F,"21","172","58",South Africa,RSA,"2000 Summer",2000,Summer,Sydney,Hockey,Hockey Women's Hockey,NA
1169,Marilyn Agliotti,F,"29","172","58",Netherlands,NED,"2008 Summer",2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
1169,Marilyn Agliotti,F,"33","172","58",Netherlands,NED,"2012 Summer",2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
1170,Aurlien Agnan,M,"22","171","62",Benin,BEN,"1980 Summer",1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,NA
1171,Benjamin Agnel,M,"20","175","75",France,FRA,"1994 Winter",1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
1172,Marysette Agnel,F,"25",NA,NA,France,FRA,"1952 Winter",1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
1172,Marysette Agnel,F,"25",NA,NA,France,FRA,"1952 Winter",1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
1172,Marysette Agnel,F,"25",NA,NA,France,FRA,"1952 Winter",1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
1172,Marysette Agnel,F,"29",NA,NA,France,FRA,"1956 Winter",1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
1172,Marysette Agnel,F,"29",NA,NA,France,FRA,"1956 Winter",1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
1172,Marysette Agnel,F,"29",NA,NA,France,FRA,"1956 Winter",1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
1173,Yannick Agnel,M,"20","202","90",France,FRA,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,NA
1173,Yannick Agnel,M,"20","202","90",France,FRA,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
1173,Yannick Agnel,M,"20","202","90",France,FRA,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1173,Yannick Agnel,M,"20","202","90",France,FRA,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1173,Yannick Agnel,M,"20","202","90",France,FRA,"2012 Summer",2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
1173,Yannick Agnel,M,"24","202","90",France,FRA,"2016 Summer",2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,NA
1174,Robert David Garrick Agnew,M,"17",NA,NA,Australia,AUS,"1948 Summer",1948,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,NA
1174,Robert David Garrick Agnew,M,"17",NA,NA,Australia,AUS,"1948 Summer",1948,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
1174,Robert David Garrick Agnew,M,"21",NA,NA,Australia,AUS,"1952 Summer",1952,Summer,Helsinki,Swimming,Swimming Men's 400 metres Freestyle,NA
1174,Robert David Garrick Agnew,M,"21",NA,NA,Australia,AUS,"1952 Summer",1952,Summer,Helsinki,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
1174,Robert David Garrick Agnew,M,"21",NA,NA,Australia,AUS,"1952 Summer",1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
1175,Claudio Agnisetta,M,"20","165","64",Italy,ITA,"1964 Summer",1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA
1176,Nemo Agodi,M,"20",NA,NA,Italy,ITA,"1908 Summer",1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
1177,Kally Agogo,M,"27","182","82",Nigeria,NGR,"1984 Summer",1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA
1178,"Jeffrey Allan ""Jeff"" Agoos",M,"32","175","79",United States,USA,"2000 Summer",2000,Summer,Sydney,Football,Football Men's Football,NA
1179,Gregorio Ags Muruzabal,M,"23",NA,NA,Uruguay,URU,"1936 Summer",1936,Summer,Berlin,Basketball,Basketball Men's Basketball,NA
1180,Marc Agosta,M,"36","173","60",Luxembourg,LUX,"1984 Summer",1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
1181,Meghan Christina Agosta (-Marciano),F,"18","168","67",Canada,CAN,"2006 Winter",2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),F,"23","168","67",Canada,CAN,"2010 Winter",2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1181,Meghan Christina Agosta (-Marciano),F,"26","168","67",Canada,CAN,"2014 Winter",2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
1182,Pedro Emanuel Costa Agostinho,M,"23","174","64",Portugal,POR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
1182,Pedro Emanuel Costa Agostinho,M,"23","174","64",Portugal,POR,"1988 Summer",1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
1182,Pedro Emanuel Costa Agostinho,M,"27","174","64",Portugal,POR,"1992 Summer",1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
1183,Dante Agostini,M,"28","173","68",Italy,ITA,"1952 Summer",1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",NA
1184,Jorge Agostini Villasana,M,"38",NA,NA,Cuba,CUB,"1948 Summer",1948,Summer,London,Fencing,"Fencing Men's Foil, Individual",NA
1185,"Michael George Raymond ""Mike"" Agostini",M,"21","171","66",Trinidad and Tobago,TTO,"1956 Summer",1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
